2022-01-13 10:40:49,188 [Worker-24] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-jar-plugin/3.2.2/maven-jar-plugin-3.2.2.jar
2022-01-13 10:40:50,101 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: init:init-resume:1.0.0 @ C:\Users\USER\Documents\아카이브\init-resume\pom.xml.
2022-01-13 10:40:52,270 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 10:40:52,275 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-13 10:40:52,278 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 10:40:52,280 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-13 10:40:52,281 [Worker-24] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of init-resume
2022-01-13 10:40:52,281 [Worker-24] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for init-resume
2022-01-13 10:40:52,292 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 10:40:59,345 [Worker-20] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2022-01-13 10:41:00,150 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: init:init-resume:1.0.0 @ C:\Users\USER\Documents\아카이브\init-resume\pom.xml.
2022-01-13 10:41:02,146 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /init-resume/src/main/java
2022-01-13 10:41:02,147 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /init-resume/src/main/resources
2022-01-13 10:41:02,148 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /init-resume/src/test/java
2022-01-13 10:41:02,148 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /init-resume/src/test/resources
2022-01-13 10:41:03,496 [Worker-20] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for init-resume
2022-01-13 10:41:03,506 [Worker-20] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 4 sec
2022-01-13 10:41:07,328 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 10:41:07,330 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 20 resources
2022-01-13 10:41:07,435 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 10:41:07,437 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-13 10:41:07,438 [Worker-24] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of init-resume
2022-01-13 10:41:07,438 [Worker-24] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for init-resume
2022-01-13 10:41:07,444 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 11:00:12,032 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 11:00:12,037 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-13 11:00:12,042 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 11:00:12,046 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-13 11:00:39,655 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 11:00:39,665 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 20 resources
2022-01-13 11:00:39,677 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 11:00:39,679 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-13 11:00:54,365 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 11:00:54,376 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 20 resources
2022-01-13 11:00:54,385 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 11:00:54,387 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-01-13 11:04:18,852 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2022-01-13 11:04:18,864 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 20 resources
